step,training_schedule,active_mode,loss,weighted_loss,initial_loss,residual_loss,initial_weight,residual_weight
1,joint,-1,435.29930050546096,435.29930050546096,370.1298239813234,65.16947652413761,1.0,1.0
2,joint,-1,47.62979615533728,47.62979615533728,30.219890260506745,17.40990589483054,1.0,1.0
3,joint,-1,28.265151313215366,28.265151313215366,8.556361217884023,19.70879009533134,1.0,1.0
4,joint,-1,23.534132196753173,23.534132196753173,4.12912635363377,19.4050058431194,1.0,1.0
5,joint,-1,33.22146753501131,33.22146753501131,16.75666373176882,16.464803803242486,1.0,1.0
6,joint,-1,80.9173466996831,80.9173466996831,2.613085975851607,78.30426072383149,1.0,1.0
7,joint,-1,665.1984740005154,665.1984740005154,30.26626298448264,634.9322110160327,1.0,1.0
8,joint,-1,554866182085.4298,554866182085.4298,553648527048.8046,1217655036.6252756,1.0,1.0
9,joint,-1,6844938126584.191,6844938126584.191,6778904905927.355,66033220656.83597,1.0,1.0
10,joint,-1,5826711377500.654,5826711377500.654,5580999490613.876,245711886886.77866,1.0,1.0
11,joint,-1,95366898516.00227,95366898516.00227,397014951.8871744,94969883564.11511,1.0,1.0
12,joint,-1,3796143065.7973723,3796143065.7973723,3579821122.0954804,216321943.70189133,1.0,1.0
13,joint,-1,6259593862.514127,6259593862.514127,210118252.63829207,6049475609.875834,1.0,1.0
14,joint,-1,7478332379.787581,7478332379.787581,7124481376.954002,353851002.8335784,1.0,1.0
15,joint,-1,2111405329800.8008,2111405329800.8008,936017889481.4415,1175387440319.3594,1.0,1.0
16,joint,-1,331284474816.7659,331284474816.7659,292552040116.9018,38732434699.86419,1.0,1.0
17,joint,-1,34092354970.384613,34092354970.384613,252623621.8390669,33839731348.545547,1.0,1.0
18,joint,-1,30091016011.06947,30091016011.06947,817871409.5311786,29273144601.53829,1.0,1.0
19,joint,-1,14516838352.921288,14516838352.921288,6247661037.25858,8269177315.662707,1.0,1.0
20,joint,-1,619400429.6211745,619400429.6211745,530484754.40142345,88915675.21975109,1.0,1.0
21,joint,-1,45897855.44177949,45897855.44177949,36606.28926082007,45861249.15251867,1.0,1.0
22,joint,-1,23797999.20410912,23797999.20410912,35287.11157450682,23762712.092534617,1.0,1.0
23,joint,-1,109595.23097590654,109595.23097590654,106714.54446045042,2880.686515456128,1.0,1.0
24,joint,-1,34.67345713342053,34.67345713342053,4.104785902530464,30.56867123089006,1.0,1.0
25,joint,-1,19.23938509622192,19.23938509622192,4.0691200028867,15.170265093335217,1.0,1.0
26,joint,-1,75.49383498461553,75.49383498461553,4.436609566957894,71.05722541765765,1.0,1.0
27,joint,-1,5718.965319046433,5718.965319046433,5078.938462607445,640.0268564389888,1.0,1.0
28,joint,-1,1009.0430074786042,1009.0430074786042,864.4175081243519,144.6254993542523,1.0,1.0
29,joint,-1,159.5425215951054,159.5425215951054,102.72555682059264,56.81696477451277,1.0,1.0
30,joint,-1,19.369153007190736,19.369153007190736,3.9917311165603118,15.377421890630425,1.0,1.0
31,joint,-1,19.368979216254765,19.368979216254765,3.986027217665225,15.38295199858954,1.0,1.0
32,joint,-1,19.367651371429222,19.367651371429222,3.958765698802982,15.40888567262624,1.0,1.0
33,joint,-1,1700.3954111847597,1700.3954111847597,170.25843542799478,1530.1369757567652,1.0,1.0
34,joint,-1,74516149238.5534,74516149238.5534,15402817173.048887,59113332065.50452,1.0,1.0
35,joint,-1,61263336754.57531,61263336754.57531,44376909938.045944,16886426816.52936,1.0,1.0
36,joint,-1,2212456729261.9253,2212456729261.9253,1715973156018.7727,496483573243.1526,1.0,1.0
37,joint,-1,17551700332.63676,17551700332.63676,12713661299.168724,4838039033.4680395,1.0,1.0
38,joint,-1,1211249602279.3389,1211249602279.3389,605298543872.5302,605951058406.8086,1.0,1.0
39,joint,-1,4066941692.9933763,4066941692.9933763,2946167496.753878,1120774196.2394986,1.0,1.0
40,joint,-1,24484041159.116364,24484041159.116364,17735142818.98915,6748898340.127209,1.0,1.0
41,joint,-1,298328416.44827926,298328416.44827926,216144193.4973198,82184222.95095949,1.0,1.0
42,joint,-1,9310.928695770635,9310.928695770635,6595.636169197551,2715.292526573085,1.0,1.0
43,joint,-1,19.370566072697738,19.370566072697738,4.092509441634243,15.278056631063494,1.0,1.0
44,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
45,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
46,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
47,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
48,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
49,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
50,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
51,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
52,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
53,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
54,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
55,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
56,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
57,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
58,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
59,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
60,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
61,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
62,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
63,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
64,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
65,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
66,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
67,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
68,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
69,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
70,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
71,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
72,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
73,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
74,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
75,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
76,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
77,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
78,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
79,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
80,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
81,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
82,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
83,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
84,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
85,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
86,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
87,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
88,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
89,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
90,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
91,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
92,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
93,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
94,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
95,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
96,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
97,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
98,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
99,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
100,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
101,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
102,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
103,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
104,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
105,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
106,joint,-1,19.36934343590848,19.36934343590848,4.004713171767382,15.364630264141098,1.0,1.0
