mode,seed,k,k_squared,final_loss,final_initial_loss,final_residual_loss,relative_complex_error_over_time,initial_complex_abs_error,final_complex_abs_error,fitted_decay_rate,decay_rate_error,final_amplitude_ratio_pred_over_ref,success
2,0,0.3141592653589793,0.09869604401089357,6.17094273917507,0.05952891349389253,6.111413825681177,0.28921961104627386,0.34504757206475895,13.586701718223045,-6.657243012389358e-12,-0.09869604401755082,1.6222054214465542,False
3,0,0.471238898038469,0.2220660990245106,22.950509726273836,1.0785782856531978,21.87193144062064,0.6280544634757825,1.4687261730174195,19.487478372723622,-3.475171504918506e-16,-0.22206609902451097,2.8927120697160733,False
4,0,0.6283185307179586,0.3947841760435743,46.700695158594485,6.297085999871455,40.40360915872303,0.9826681618402737,3.5488268483743903,19.11412627517133,-6.669534826680986e-11,-0.39478417611026967,6.228160015612711,False
5,0,0.7853981633974483,0.6168502750680849,64.2376196757458,17.705622857901478,46.53199681784433,1.2017908225586227,5.950734888717776,14.651033469773143,-1.7340471272522522e-16,-0.6168502750680851,15.82834844382546,False
6,0,0.942477796076938,0.8882643960980424,66.75470174034805,29.44111278096182,37.31358895938624,1.2327214615871585,7.673475455223898,9.520408117720361,-1.5090285980219885e-16,-0.8882643960980425,47.44903502350257,False
7,0,1.0995574287564276,1.2090265391334463,2.3549640756645187e-06,1.4183179467969018e-10,2.354822243869839e-06,0.00013398335543793127,1.6842315439374137e-05,0.0011715059027437972,1.2097950564700168,0.0007685173365705733,0.9651235137438774,True
2,1,0.3141592653589793,0.09869604401089357,6.170942738351551,0.05953061353305207,6.111412124818498,0.28921946061001125,0.3450524989999408,13.586696790317596,-2.5477822271855014e-17,-0.0986960440108936,1.6222051957722508,False
3,1,0.471238898038469,0.2220660990245106,15.393299523172093,0.4852124921766551,14.908087030995437,0.5315791984955458,0.9851015096695923,10.29607881715655,3.8325827691152283,3.6105166700907176,2.7157864612500837e-06,False
4,1,0.6283185307179586,0.3947841760435743,46.700694955446956,6.297086079088386,40.40360887635857,0.9826681575349454,3.548826870696399,19.114126210048944,-1.697976177682484e-12,-0.3947841760452723,6.228159997800217,False
5,1,0.7853981633974483,0.6168502750680849,64.23761973472553,17.705603421447986,46.53201631327754,1.2017911381985433,5.950731622489454,14.651036746217498,-6.27315645618684e-11,-0.6168502751308165,15.828351759922356,False
6,1,0.942477796076938,0.8882643960980424,66.75470173999844,29.44101572081137,37.313686019187074,1.2327231508077443,7.673462806427275,9.520420766491684,-3.676950711505293e-17,-0.8882643960980424,47.44909673548234,False
7,1,1.0995574287564276,1.2090265391334463,57.03469689477508,33.8663008062501,23.16839608852498,1.150760767754335,8.22998187194238,5.597403166289979,-4.9274154514891984e-17,-1.2090265391334463,171.44492753577316,False
2,2,0.3141592653589793,0.09869604401089357,6.1709546534792565,0.05953013120498097,6.111424522274276,0.2892198297634068,0.3450511011574401,13.586710513050434,-6.635589738297282e-08,-0.09869611036679096,1.6222058242072002,False
3,2,0.471238898038469,0.2220660990245106,22.95050972658506,1.0785683495709992,21.87194137701406,0.6280547615411763,1.4687194078999561,19.487485138041574,-8.15498973343094e-17,-0.2220660990245107,2.89271272679389,False
4,2,0.6283185307179586,0.3947841760435743,46.70069495452626,6.297086100715634,40.40360885381063,0.9826681571215139,3.548826876790592,19.11412620376243,-2.6557697166534613e-16,-0.3947841760435746,6.228159996080709,False
5,2,0.7853981633974483,0.6168502750680849,64.23761962158208,17.705649472863158,46.531970148718926,1.201790390815635,5.95073936126649,14.651028987071744,2.2251321585165975e-10,-0.6168502748455716,15.828343906871877,False
6,2,0.942477796076938,0.8882643960980424,1.886902689336009e-05,5.274094639367539e-10,1.886849948389615e-05,0.0002620815665778929,3.2477976032728287e-05,0.0020050620749835647,0.8884275516821366,0.00016315558409418784,1.0088601779557553,True
7,2,1.0995574287564276,1.2090265391334463,57.034696894774974,33.86630349807315,23.168393396701823,1.1507607116639997,8.229982199017584,5.597402839214699,-1.1608478507840935e-16,-1.2090265391334465,171.44491757609708,False
2,3,0.3141592653589793,0.09869604401089357,6.170942728547829,0.05953070806589412,6.111412020481935,0.28921945196682225,0.34505277296638004,13.586696506704584,3.837099934023307e-11,-0.09869604397252257,1.6222051827841424,False
3,3,0.471238898038469,0.2220660990245106,22.95050972627388,1.0785783209490385,21.87193140532484,0.6280544624170047,1.46872619704902,19.487478348692044,-2.32784953447269e-16,-0.22206609902451083,2.8927120673820177,False
4,3,0.6283185307179586,0.3947841760435743,2.099754783623861e-06,1.6368667726089165e-10,2.0995910969466e-06,6.157903898787147e-05,1.8093461651154077e-05,0.0006448015140007333,0.39480163491591486,1.7458872340558873e-05,0.9999828873030455,True
5,3,0.7853981633974483,0.6168502750680849,7.275017376712438e-06,6.70702719011171e-11,7.2749503064405365e-06,0.0002250169052503812,1.158190587952752e-05,0.0034936885424859472,0.6167595605556634,-9.071451242148587e-05,0.9997156202620003,True
6,3,0.942477796076938,0.8882643960980424,55.55797044053976,20.393039666782286,35.164930773757476,1.4083436139303633,6.386397993670968,10.807485579247947,-2.1905885782961563,-3.0788529743941986,53.728545875268786,False
7,3,1.0995574287564276,1.2090265391334463,7.300868898499888e-07,5.471048753181192e-12,7.300814188012356e-07,0.00010868354441487618,3.307884143431022e-06,0.0005637813847161361,1.2094673157996811,0.00044077666623487666,0.9892271264665832,True
2,4,0.3141592653589793,0.09869604401089357,6.170941874147501,0.05953068831899116,6.11141118582851,0.28921942867826517,0.34505271573772944,13.586695658231022,4.25275400665133e-09,-0.09869603975813956,1.6222051439281446,False
3,4,0.471238898038469,0.2220660990245106,22.950509726753197,1.0785403715583046,21.871969355194892,0.6280556008097485,1.4687003585199427,19.48750418731192,1.1677673051375241e-16,-0.2220660990245105,2.892714576945471,False
4,4,0.6283185307179586,0.3947841760435743,4.467526917317072e-06,1.3130022863940082e-11,4.467513787294208e-06,9.279527526431332e-05,5.124455652392321e-06,0.0006650303715528604,0.39484353785222703,5.936180865273588e-05,0.9998180987477738,True
5,4,0.7853981633974483,0.6168502750680849,64.23761967589847,17.7056208036102,46.53199887228827,1.2017908558147108,5.950734543501364,14.651033815015664,-5.990391185935434e-17,-0.616850275068085,15.828348793245816,False
6,4,0.942477796076938,0.8882643960980424,66.75470174011414,29.44100604313129,37.31369569698286,1.2327233192399392,7.673461545239056,9.52042202769512,2.7524679568757405e-16,-0.8882643960980422,47.44910288875594,False
