time,relative_l2_error,max_abs_error,mean_abs_error
0.0,0.39680602925330694,0.27303260676525054,0.15945685790235015
0.05,0.4023071084960998,0.2648269338065559,0.15930722077735815
0.1,0.40773406866940687,0.2610357546898697,0.15921507210662744
0.15000000000000002,0.4131026072870473,0.2587076036789042,0.15918539708849838
0.2,0.4184189345045601,0.2585562909139965,0.15923567342851996
0.25,0.42368644061571376,0.2644705914193138,0.15928711401188445
0.30000000000000004,0.42890795034603935,0.27067331709018977,0.15937130570593522
0.35000000000000003,0.4340862917619156,0.2769461078270674,0.1595207581418019
0.4,0.4392243161829826,0.28292957697499854,0.15967649963154346
0.45,0.44432477103069734,0.2889601767589134,0.15982719018503144
0.5,0.4493901665193112,0.29486791612135854,0.15999127192396623
0.55,0.4544226803360151,0.3005095516284664,0.16016225443057647
0.6000000000000001,0.4594241068492407,0.30591450648940377,0.16035537162257485
0.65,0.46439584389906263,0.31110715308275494,0.16056356248145637
0.7000000000000001,0.4693389068812748,0.3161077078812218,0.16079120466402835
0.75,0.4742539604652605,0.3209331598601832,0.1610358082783415
0.8,0.47914136020687037,0.325598055642772,0.16127439012678688
0.8500000000000001,0.4840011983915116,0.3301150640914743,0.16155829792636683
0.9,0.4888333502276983,0.3344953286605308,0.1618425216688846
0.9500000000000001,0.49363751789539706,0.33874866566712947,0.16211811151460812
1.0,0.49841327096600624,0.3428836797229531,0.16238543499310115
1.05,0.5031600824262953,0.3469078552695546,0.16264483198546398
1.1,0.5078773600324495,0.35082765974928987,0.16290725568340886
1.1500000000000001,0.5125644730511741,0.35464867065012684,0.16319340811142907
1.2000000000000002,0.5199293635325402,0.3632945160761254,0.16400659437749704
1.25,0.5217156273743193,0.36221270128143024,0.16376064100439805
1.3,0.5235284802385194,0.3611849010014268,0.16353879002028116
1.35,0.525367538365738,0.360210722105564,0.1633409358722672
1.4000000000000001,0.5272322808077161,0.3592895499472927,0.16317438361593312
1.4500000000000002,0.5291220758527831,0.3584205756268741,0.1630296297398695
1.5,0.5310362037595109,0.35760282790932063,0.1629197683930122
1.55,0.532973876263487,0.3568352095116744,0.16281467109221567
1.6,0.5349342532720545,0.3561165354231247,0.16271397159518836
1.6500000000000001,0.5369164571137196,0.35544557008100436,0.16261781939998757
1.7000000000000002,0.5389195846629907,0.3548210603636135,0.162527529295493
1.75,0.7226751713632072,0.5204104028279389,0.20050568196156388
1.8,0.7236821004972738,0.5175837999872366,0.19986517970706458
1.85,0.7246688284236059,0.5150821454223423,0.19925606799566273
1.9000000000000001,0.7256360135453003,0.5126268571545793,0.19866300468769985
1.9500000000000002,0.7265842610730113,0.5102167495642294,0.19808264330296127
2.0,0.7275141297756256,0.5078507144666066,0.19753126343149563
2.0500000000000003,0.7284261378633052,0.505527706239224,0.19699520985138555
2.1,0.7293207681150071,0.5032467267558041,0.1964652149143362
2.15,0.7301984723476412,0.5010068114250297,0.19594439372964956
2.2,0.7310596753108689,0.49880701724703386,0.1954387710838335
