mode,mean_ref_amplitude,mean_pred_amplitude,mean_abs_spectral_error,relative_spectral_error,contribution_to_total_spectral_error
0,40.21238586020365,40.21238586021025,6.556480331151887e-12,1.6304629011432354e-13,2.8801025366921864e-26
1,36.70820914176225,36.70617798976111,0.0020546513808695,5.597253118327587e-05,4.055179141465098e-09
2,28.23733287600008,12.390727124008722,17.80500919972596,0.6305485464195194,0.29529807290632537
3,18.892851014984238,18.89504554959395,0.002234831048448387,0.00011828977250050321,4.1078141458938165e-09
4,11.516270947752394,11.51652649378955,0.00027071332169301116,2.3507029568963526e-05,5.937986898486817e-11
5,6.725826277519661,4.752475247524752,4.172416894058817,0.6203575177082205,0.01662209189838705
6,3.9207911281922883,3.922916936081027,0.0021328344242821707,0.0005439806290485897,6.932124523003886e-09
7,2.334178465405315,2.3355518949596514,0.01695627570643769,0.007264344161230766,2.755772675271245e-07
8,1.4288884691365464,1.4294730953271,0.0009503076541499028,0.0006650677604838942,8.272606584531259e-10
9,0.8981884069198428,0.8981610972561319,0.001069359233506483,0.001190573408950619,9.259937220235686e-10
10,0.5776705187759572,0.5781236052928435,0.0005745809877572296,0.000994651741921547,6.144380935247404e-10
11,0.3788315155701949,0.379754948720405,0.0011826879689757293,0.0031219365875503175,4.431397947118391e-09
12,0.2526068390305517,1.8355206687847385,1.6985634931634144,6.724138980884759,0.0020185025471086224
13,0.1708824532621615,0.1710519322006884,0.00047080438272117454,0.002755135906194441,4.305329085209161e-10
14,0.11706003297374612,0.11658183875433495,0.0008379480330207897,0.007158276071976865,2.938930758928466e-09
15,0.0810823373304567,0.08148275330219137,0.0005600612642782613,0.006907315239269593,1.006966308296684e-09
16,0.056716408164883485,0.057522605323052915,0.000991376021226762,0.017479527588289384,3.865133393244623e-09
17,0.04002230227905599,0.04046829281098322,0.0004822472558399567,0.012049463133766813,1.7457020411859616e-09
18,0.02846572695093206,0.029162101479243162,0.0007464847661931116,0.02622398393267344,3.820670900270318e-09
19,0.020391155362275107,0.020731739527521033,0.0003983771021327257,0.019536759690907356,7.953357787351242e-10
20,0.014702086223541718,0.014858345374617912,0.00019686160274447545,0.013390045450097468,1.5571328948594778e-10
21,0.010663248219368178,0.011099336893193352,0.000479971742923478,0.04501177624766175,1.1976842976860645e-09
22,0.007776069022350256,0.007962265005346485,0.00019344478708412192,0.024876938016897224,3.406266797598159e-10
23,0.005699058156975172,0.005822072261767369,0.00012899920880220204,0.022635180278747946,4.978231325980515e-11
24,0.004196159743053251,0.0043408687880481375,0.00022930289515567544,0.05464589272019177,6.20202908573979e-11
25,0.0031028340363192138,0.0031454839083916815,0.00011499976211712371,0.03706281443706993,3.1806775303797684e-11
26,0.0023035055011015647,0.002419127847419148,0.00011889525487828754,0.05161492118053565,6.912074414193387e-11
27,0.0017164210243044507,0.0017243848305684103,2.7958991652277924e-05,0.016289122107210154,6.1160015698992056e-12
28,0.0012833721136039527,0.0013921521590089978,0.00012574991041051483,0.09798398225857129,1.313711641032426e-10
29,0.0009626662308278049,0.0010039523932514728,9.469741230151821e-05,0.09836993266096712,9.492404573540934e-11
30,0.0007242709827366433,0.0008137407129081976,9.33593943594531e-05,0.12890119386903576,7.510381507677441e-11
31,0.0005464420939568436,0.0008318000741176502,0.00029317515204699675,0.5365164127896612,3.532158230062594e-10
32,0.000413357610651621,0.0005405010813653382,0.00014196236174423868,0.34343715486560855,8.921484344578334e-11
33,0.00031345396483725506,0.031250000000000416,0.03093654603516409,98.69566030605581,6.450495990832285e-07
34,0.00023824224812714478,0.00040599101359467435,0.00017057884000093462,0.7159890461993137,9.007966868451495e-11
35,0.00018146699365297422,0.000275091354360281,9.510324657347294e-05,0.5240801352302241,4.9098387695391344e-11
36,0.0001384998947636025,0.00021640444377615556,8.00305537264375e-05,0.5778383721015604,3.5846548627268606e-11
37,0.00010590550825725736,32.0,32.00000001218073,302156.1440831655,0.6860603721457932
38,8.112418658379784e-05,0.00019633602103871629,0.0001874598820763541,2.310776723569561,1.5446173875862335e-10
39,6.224376302860458e-05,0.00012463537962355186,0.00014104193054793884,2.265960855919363,1.273497205186978e-10
40,4.783055973139934e-05,0.00013065082214789534,0.000130704644879924,2.73265973916923,6.295212783160759e-11
41,3.680748615025833e-05,9.255906080657105e-05,0.00010383553461322325,2.821043909093327,4.838335330334119e-11
42,2.836236193612801e-05,7.52802995386972e-05,8.004381281410388e-05,2.82218430871034,2.5723760538342596e-11
43,2.1881989345881203e-05,9.918561088239622e-05,9.318943611295049e-05,4.258727789321921,1.8951811265972418e-11
44,1.6901563056975674e-05,4.3099605418887076e-05,5.013520774257847e-05,2.966305990373268,1.1625233899853917e-11
45,1.3068659047948794e-05,6.205387750036605e-05,6.912336424445355e-05,5.289246891424785,1.0257733173460137e-11
46,1.0114832399312645e-05,7.961213395149669e-05,7.994424291671355e-05,7.903664614566048,1.0806994679619702e-11
47,7.835823174545901e-06,4.618832225873313e-05,4.3579873704003843e-05,5.561620359883807,2.7255916114914677e-12
48,6.0753149942203896e-06,6.369558207088466e-05,5.978343640007777e-05,9.84038464786622,3.795710057774777e-12
49,4.714041459301422e-06,7.16338935675513e-05,6.796017442755596e-05,14.416541520537887,7.777765080561203e-12
50,3.6603028927891326e-06,7.774337707317613e-16,3.6603028930686416e-06,1.0000000000763622,8.27255505369448e-13
