time,relative_l2_error,max_abs_error,mean_abs_error
0.0,0.3613688954286689,0.7169115787830627,0.09675326496466444
0.05,0.3397620691174349,0.6274063035905166,0.09245706082297603
0.1,0.32008342688094193,0.5534978405097843,0.08844451315255819
0.15000000000000002,0.30205885110611397,0.49028827721098955,0.08470933931929461
0.2,0.28551975357493903,0.4349979627820113,0.081242117610371
0.25,0.2703598895860188,0.3858533915066482,0.07802597292395386
0.30000000000000004,0.25651353748634664,0.34163815648496754,0.07504201026968452
0.35000000000000003,0.2439428022616625,0.3014749933390881,0.07227167537443056
0.4,0.2326292102119826,0.26470717791272724,0.0696976860310215
0.45,0.2225673617149107,0.2308286203076455,0.06733960995595793
0.5,0.21375951731747428,0.2105149468551295,0.06518198333289026
0.55,0.2062105678684569,0.1994516456762866,0.06318013428832442
0.6000000000000001,0.19992321157733134,0.18914466929058066,0.06134654491167444
0.65,0.1948934419967027,0.17956664487301355,0.059784117070623186
0.7000000000000001,0.1911066571028998,0.17068467301704515,0.05838248911373514
0.75,0.18853480174106838,0.16251999286195173,0.05728448204398334
0.8,0.41885833023614505,0.2914098701417327,0.13810302416745965
0.8500000000000001,0.4164798530984737,0.2869977726726528,0.13599810688383043
0.9,0.4144427022081768,0.28699872979578683,0.13395715369114983
0.9500000000000001,0.4127274800810167,0.286999735991654,0.13199940022671053
1.0,0.4113158798858967,0.2870007937762563,0.13008676403986522
1.05,0.41019058278561993,0.2870019057945878,0.12821818759131204
1.1,0.4093351755514015,0.28700307482724424,0.12639255251883674
1.1500000000000001,0.4087340837055195,0.28700430379737063,0.12460870328755948
1.2000000000000002,0.40837251653368895,0.2870055957779605,0.12286546551893233
1.25,0.408236421137074,0.2870069539995259,0.12116166012892612
1.3,0.4083124433329217,0.28700838185815225,0.11950974210921114
1.35,0.6329230309933208,0.4429600894634813,0.1854895152817518
1.4000000000000001,0.6330338041931248,0.442814702708392,0.18504799647044962
1.4500000000000002,0.6332022609806568,0.44266220370881393,0.1845969180588781
1.5,0.633423745815251,0.4425023180448457,0.1841366631649133
1.55,0.6336939357489126,0.4423347739234596,0.18366761995018926
1.6,0.6340088147016893,0.44215930382556085,0.18320194731625652
1.6500000000000001,0.634364650156861,0.4419756461306333,0.18276759149871405
1.7000000000000002,0.6347579719841399,0.44178354669169595,0.1823254550773218
1.75,0.6351855531433904,0.44158276033645405,0.18187587011864026
1.8,0.6356443920577115,0.44137305227409585,0.18141916806666794
1.85,0.6361320080308507,0.4411542700906106,0.1809557546052507
1.9000000000000001,0.6366451791783757,0.4409260621218654,0.18048580352456567
1.9500000000000002,0.6371818012101602,0.44068830268968695,0.18003434133843255
2.0,0.6377396256745531,0.44044081020243697,0.1795986171296851
2.0500000000000003,0.6383165609343475,0.4401834186119133,0.17915707698547162
2.1,0.6389106614911103,0.4399159780288657,0.17870999501018847
2.15,0.6395201181121194,0.439638355199246,0.17825764118544565
2.2,0.6401432486884838,0.4393504338456884,0.17780028083634852
2.25,0.6407784897608596,0.43905211488033974,0.1773381741857366
2.3000000000000003,0.6414243886559389,0.43874331649643605,0.17687157598737743
2.35,0.642079596182791,0.43842397414696493,0.17640567390845943
2.4000000000000004,0.6427428598432586,0.4380940404194058,0.175971944429345
2.45,0.6434130175151246,0.43775348481593623,0.17553408306700496
2.5,0.6440889915707166,0.43740229344866266,0.1750923045004461
2.5500000000000003,0.6447697833971202,0.43704046865942203,0.17464681864687007
