mode,k,k_squared,ref_initial_real,ref_initial_imag,pred_initial_real,pred_initial_imag,initial_complex_abs_error,final_complex_abs_error,mean_complex_abs_error_over_time,relative_complex_error_over_time,ref_final_amplitude,pred_final_amplitude,final_amplitude_ratio_pred_over_ref,exact_vs_reference_relative_error_by_mode,fitted_decay_rate,decay_rate_error,valid_decay_fit
0,0.0,0.0,40.212385860203675,0.0,40.21238586279918,0.0,2.595506032321282e-09,2.593012027318764e-09,2.594513875469557e-09,6.452027002483766e-11,40.21238586020367,40.21238586279668,1.0000000000644829,1.3844125271667678e-16,1.3071524543600505e-14,1.3071524543600505e-14,True
1,0.15707963267948966,0.024674011002723394,-39.01860822557467,-1.5543122344752192e-15,-38.99486788484501,-6.134538502178266e-10,0.0237403407296597,4.5048960161141025,2.2871288488397883,0.07188250854321175,34.489971868730905,38.99486788484501,1.1306146619446305,1.1577279124387915e-16,3.989392467579144e-17,-0.024674011002723355,True
2,0.3141592653589793,0.09869604401089357,35.76810951683773,-9.43689570931383e-16,35.679481024853885,-1.0218063819985446e-06,0.08862849198973761,21.836365343275585,19.82867374263003,0.7945151843183488,21.836360227520203,6.86339223808659e-06,3.143102681296083e-07,1.1716645867594126e-16,3.5989331673397515,3.500237123328858,True
3,0.471238898038469,0.2220660990245106,-31.252265253826955,-1.4988010832439613e-15,-31.045579665927562,-3.6574288897958662e-06,0.20668558793175362,10.296024145952282,14.692534455127483,0.8175314035407516,10.29606070808591,3.9678674815787656e-05,3.853772422362117e-06,1.1841883865695343e-16,2.2217683411521385,1.9997022421276278,True
4,0.6283185307179586,0.3947841760435743,26.318947965577834,-5.551115123125783e-17,22.77012085472228,7.57210925272922e-06,3.548827110863633,19.114125969698964,11.541698191551781,0.9826681417060319,3.655994885024814,22.770120854723537,6.228159932058819,1.5099984350803964e-16,2.7450335978173916e-18,-0.3947841760435743,True
5,0.7853981633974483,0.6168502750680849,-21.589810521465168,-2.275957200481571e-15,-15.639075554019655,7.894414052328491e-08,5.950734967445513,14.651033391045406,9.556578920103469,1.2017908149751428,0.9880421629742484,15.639075554019655,15.828348364144922,1.343070120857293e-16,1.191614011986646e-16,-0.6168502750680848,True
6,0.942477796076938,0.8882643960980424,17.39884817795113,1.887379141862766e-15,17.398849140623014,6.233280999309656e-06,6.307180760703473e-06,0.00011333593680826609,0.001987995197165456,0.0005104875978084957,0.20496460503222336,0.20507372989654846,1.0005324083361025,2.3643887519165865e-16,0.8883019904635612,3.7594365518756057e-05,True
7,1.0995574287564276,1.2090265391334463,-13.860224989806062,9.298117831235686e-16,-13.86022907119007,-8.41840701922697e-06,9.355601112430502e-06,0.0011901268356986998,0.0033070875679216283,0.0012518798441639436,0.0328399515738899,0.03170867131838361,0.9655517075608072,2.8427880887063564e-16,1.207467435950163,-0.001559103183283339,True
8,1.2566370614359172,1.5791367041742972,10.960400943258088,-2.545622844533582e-16,10.960355134095462,-1.828196253487328e-05,4.9322505356900925e-05,0.004027353389840142,1.3202971554128677,0.9240437981094015,0.004081075764272385,5.927929555636582e-05,0.01452540922550962,3.215296880216188e-16,0.19511448972666018,-1.384022214447637,True
9,1.413716694115407,1.9985948912205949,-8.62745659157676,4.85722573273506e-16,-8.627428368532975,3.1597450369721947e-06,2.839936952061157e-05,0.0003433129256671425,0.0008528342199207315,0.0007673772077682417,0.00039444741908127546,8.614180358650265e-05,0.21838602414268357,5.016177341120964e-16,2.099150900544789,0.10055600932419395,True
