step,mode,initial_loss_by_mode,residual_loss_by_mode,weighted_loss_by_mode,ref_t0_abs,pred_t0_abs,ref_tfinal_abs,pred_tfinal_abs,max_pred_abs_over_time
5,0,1.1194885583285282e-19,8.473186433063508e-29,1.11948855841326e-18,40.212385860203675,40.212385860210254,40.212385860203675,40.2123858602102,40.212385860210254
5,1,0.000256578073081222,0.4435965910531828,0.446162371783995,39.01860822557467,39.02768011340979,34.4899718687309,38.93053437469477,39.02768011340979
5,2,0.0007020438689977643,6.3451802221222,6.352200660812177,35.76810951683773,35.730658467080175,21.836360227520203,35.881583072323444,35.881583072323444
5,3,0.43018410337682683,5.311093636244953,9.612934670013221,31.252265253826952,31.045057044607695,10.29606070808591,16.09986489843101,31.045057044607695
5,4,0.08156772651065672,52.33323114136419,53.14890840647075,26.31894796557784,25.915047664741834,3.655994885024816,25.91454604996519,25.915047664741834
5,5,0.0795995041913206,25.187919123756842,25.983914165670047,21.589810521465168,21.215814286494133,0.9880421629742486,10.136158821302587,21.215814286494133
5,6,0.0801582763347885,54.37664479595142,55.17822755929931,17.39884817795113,16.999344454647733,0.20496460503222355,11.793102323810789,16.999344454647733
5,7,14.287481103742618,44.46201300404362,187.3368240414698,13.86022498980606,8.72905717689776,0.03283995157388999,7.473955539728086,8.72905717689776
5,8,1.0277362447936935,42.51279380033306,52.790156248269994,10.960400943258088,9.529276217845842,0.004081075764271535,5.689125438002008,9.529276217845842
5,9,0.01949700656915297,1.0085383176872935,1.2035083833788232,8.62745659157676,8.43007926469783,0.0003944474190807856,0.39500365072338034,8.43007926469783
5,10,0.011975474993302506,0.6290213682324963,0.7487761181655214,6.771719124745781,6.621943679271263,2.9703356237254366e-05,0.17867652567782058,6.621943679271263
5,11,0.010344103376684254,16.57129759344158,16.674738627208423,5.30579708366527,5.172173525208064,1.7446150219024265e-06,1.081809293263258,5.172173525208064
5,12,35137.61483747779,457449.76327075966,808825.9116455376,4.152722013629521,269.205826532986,7.997722775691346e-08,269.205826532986,269.205826532986
5,13,0.0008760245702729614,0.31963944436316566,0.32839969006589526,3.248085443256918,3.267916326347766,2.8627773872263956e-09,0.13786098124540333,3.267916326347766
5,14,0.0006493339438809414,0.032492711410330825,0.03898605084914024,2.5394871616500927,2.52962480380775,8.003407560458663e-11,0.026062364321796178,2.52962480380775
5,15,0.38123027438349455,4.5049965782836265,8.317299322118572,1.9849840395898264,1.2038257422631204,1.7478205494447078e-12,0.5351423508044392,1.2038257422631204
5,16,0.039998623175610086,0.8717335013587005,1.2717197331148014,1.5513231151193096,1.2796400974955102,2.981914094434455e-14,0.056822550012728804,1.2796400974955102
5,17,0.009259909895595407,1.0997959687079155,1.1923950676638695,1.2122923680185365,1.0791855565422124,3.9746181287953722e-16,0.18478676063473384,1.0791855565422124
5,18,0.08188442783216372,0.9758693505052976,1.7947136288269347,0.9473008745475043,0.5527903375118779,4.139170173571913e-18,0.11022887956396793,0.5527903375118779
5,19,0.05744802173618836,0.16966590116237387,0.7441461185242575,0.7402076249741987,0.4718539687938575,3.3678933901296725e-20,0.06339660387675303,0.4718539687938575
5,20,0.015524923958508555,0.4508805300975519,0.6061297696826374,0.5783756532949839,0.4027654514405182,2.1410970507201e-22,0.05025790894821639,0.4027654514405182
5,21,0.02834566933770529,0.2779525243674103,0.5614092177444632,0.45191931148196796,0.21479235575039213,1.0635329537896607e-24,0.0350081822904877,0.21479235575039213
5,22,0.02289958717151003,0.1401152549712887,0.369111126686389,0.35310864809819714,0.1538790718826327,4.127663051903605e-27,0.016372472630988705,0.1538790718826327
5,23,0.01456401418280178,0.05737492735570695,0.20301506918372478,0.2759013142767159,0.1072759199803796,1.251692406084246e-29,0.008874191001706113,0.1072759199803796
5,24,0.015987722477151255,0.03539131384823454,0.1952685386197471,0.2155747371562788,0.03824132970283171,2.9657313603032164e-32,0.013214818819870968,0.03824132970283171
5,25,0.007066282228782804,0.03608946363412584,0.10675228592195388,0.16843845295653787,0.05407258826664417,5.490443365551092e-35,0.013440939298734135,0.05407258826664417
