mode,mean_ref_amplitude,mean_pred_amplitude,mean_abs_spectral_error,relative_spectral_error,contribution_to_total_spectral_error
0,40.21238586020365,40.21238586279819,2.594514578977216e-09,6.452028457095075e-11,5.949569341563306e-21
1,36.70820914176225,38.99486788484501,2.2871288488397896,0.062305650488347186,0.006161797886079741
2,28.23733287600008,9.538084114476051,19.82867374263003,0.7022148242436569,0.45403215379220835
3,18.892851014984238,4.91815201098521,14.692534455127483,0.7776769341733858,0.2324971108925615
4,11.516270947752394,22.770120854723544,11.541698191551781,1.002207940740084,0.14840749832363653
5,6.725826277519661,15.639075554019655,9.556578920103469,1.420878049146956,0.09828730405575309
6,3.9207911281922883,7.119654066817759e-16,3.9207911281922883,1.0,0.031163133958881418
7,2.334178465405315,1.3792745734467167e-15,2.334178465405315,1.0,0.014761947293825371
8,1.4288884691365464,6.062904307190773e-16,1.4288884691365469,1.0000000000000002,0.007196550148902901
9,0.8981884069198428,1.1704459112361847e-15,0.8981884069198433,1.0000000000000004,0.003595580761100632
10,0.5776705187759572,8.740165161817183e-16,0.577670518775957,0.9999999999999997,0.001835218694984102
11,0.3788315155701949,8.39451245319332e-16,0.37883151557019545,1.0000000000000016,0.0009544359364865136
12,0.2526068390305517,7.606967239382818e-16,0.2526068390305519,1.0000000000000009,0.0005046461861847038
13,0.1708824532621615,6.546688693234222e-16,0.17088245326216117,0.999999999999998,0.0002707614156189527
14,0.11706003297374612,8.583339225418617e-16,0.1170600329737461,0.9999999999999999,0.0001471766275858718
15,0.0810823373304567,1.4968404903087164e-15,0.0810823373304576,1.000000000000011,8.093442603359295e-05
16,0.056716408164883485,3.452784080250168e-16,0.056716408164883526,1.0000000000000007,4.497205137735247e-05
17,0.04002230227905599,1.6416556451408118e-15,0.040022302279055955,0.9999999999999991,2.5223743894233382e-05
18,0.02846572695093206,6.56018734017774e-16,0.02846572695093221,1.0000000000000053,1.4267070310839595e-05
19,0.020391155362275107,6.992143806999597e-16,0.0203911553622749,0.9999999999999898,8.131461871453481e-06
20,0.014702086223541718,7.549289591106082e-16,0.014702086223541811,1.0000000000000064,4.666615637047677e-06
21,0.010663248219368178,8.791324995851947e-16,0.010663248219368655,1.0000000000000446,2.6950108332583313e-06
22,0.007776069022350256,4.914951310912594e-16,0.007776069022350396,1.000000000000018,1.5653019524495925e-06
23,0.005699058156975172,8.2797038546056e-16,0.005699058156975489,1.0000000000000555,9.138890378775005e-07
24,0.004196159743053251,4.3518403560682525e-16,0.004196159743053363,1.0000000000000266,5.360995116913917e-07
25,0.0031028340363192138,5.73134126470025e-16,0.0031028340363192645,1.0000000000000164,3.158427228319316e-07
26,0.0023035055011015647,5.22311292681047e-16,0.0023035055011016996,1.0000000000000586,1.8681062626086226e-07
27,0.0017164210243044507,1.327014745172477e-15,0.0017164210243051012,1.000000000000379,1.1088764439781588e-07
28,0.0012833721136039527,1.0599176416127347e-15,0.0012833721136041312,1.000000000000139,6.603473579679259e-08
29,0.0009626662308278049,9.609011029319429e-16,0.000962666230828002,1.0000000000002047,3.944007179601384e-08
30,0.0007242709827366433,9.591749964783595e-16,0.0007242709827366572,1.000000000000019,2.3618695350083693e-08
31,0.0005464420939568436,1.3015980722494044e-15,0.0005464420939573317,1.0000000000008933,1.4177972155357478e-08
32,0.000413357610651621,5.139650839609756e-16,0.00041335761065190593,1.0000000000006892,8.529161270752025e-09
33,0.00031345396483725506,1.0639469867883883e-15,0.0003134539648376636,1.0000000000013034,5.1408624651124735e-09
34,0.00023824224812714478,1.0153045075886947e-15,0.00023824224812747871,1.0000000000014018,3.1039302752478962e-09
35,0.00018146699365297422,4.973889684805084e-16,0.00018146699365283634,0.9999999999992402,1.876949492944054e-09
36,0.0001384998947636025,9.650304874395416e-16,0.00013849989476406502,1.0000000000033396,1.1365276909615229e-09
37,0.00010590550825725736,1.0260581616506829e-15,0.00010590550825753157,1.0000000000025893,6.890114583320865e-10
38,8.112418658379784e-05,5.264387413789393e-16,8.112418658394306e-05,1.0000000000017901,4.1814399700510413e-10
39,6.224376302860458e-05,1.0527281969605808e-15,6.224376302884399e-05,1.0000000000038463,2.539940233804965e-10
40,4.783055973139934e-05,5.399398024365875e-16,4.783055973154607e-05,1.0000000000030678,1.5440583067415367e-10
41,3.680748615025833e-05,8.935473416861539e-16,3.680748615056088e-05,1.0000000000082196,9.392993796258442e-11
42,2.836236193612801e-05,5.221124138335741e-16,2.8362361936300416e-05,1.0000000000060787,5.717384928045723e-11
43,2.1881989345881203e-05,1.2663598399353453e-15,2.188198934639253e-05,1.0000000000233675,3.481876225731684e-11
44,1.6901563056975674e-05,9.6418935086902e-16,1.6901563057439493e-05,1.0000000000274423,2.1213435373400517e-11
45,1.3068659047948794e-05,1.0161355352317458e-15,1.306865904859971e-05,1.0000000000498075,1.2929198157047576e-11
46,1.0114832399312645e-05,6.682352395849037e-16,1.011483239949289e-05,1.00000000001782,7.882391286694705e-12
47,7.835823174545901e-06,9.239586438960114e-16,7.835823175069108e-06,1.0000000000667713,4.8068814840310604e-12
