mode,num_seeds,num_success,success_rate,best_seed,best_final_coeff_abs_error,median_final_coeff_abs_error,median_decay_rate_relative_error
2,5,0,0.0,4,13.586695658231022,13.586696790317596,1.0000000000000002
3,5,0,0.0,1,10.29607881715655,19.487478372723622,1.000000000000001
4,5,2,0.4,3,0.0006448015140007333,19.11412620376243,1.0000000000000007
5,5,1,0.2,3,0.0034936885424859472,14.651033469773143,1.0000000000000002
6,5,1,0.2,2,0.0020050620749835647,9.520420766491684,1.0
7,5,3,0.6,4,0.00016270254340538983,0.0011715059027437972,0.0007399515420396605
