mode,seed,final_loss,final_initial_loss,final_residual_loss,initial_coeff_abs_error,final_coeff_abs_error,fitted_decay_rate,theoretical_decay_rate,decay_rate_relative_error,success_flag
2,0,6.17094273917507,0.05952891349389253,6.111413825681177,0.34504757206475895,13.586701718223045,-6.657243012389358e-12,0.09869604401089357,1.000000000067452,False
2,1,6.170942738351551,0.05953061353305207,6.111412124818498,0.3450524989999408,13.586696790317596,-2.5477822271855014e-17,0.09869604401089357,1.0000000000000002,False
2,2,6.1709546534792565,0.05953013120498097,6.111424522274276,0.3450511011574401,13.586710513050434,-6.635589738297282e-08,0.09869604401089357,1.0000006723258066,False
2,3,6.170942728547829,0.05953070806589412,6.111412020481935,0.34505277296638004,13.586696506704584,3.837099934023307e-11,0.09869604401089357,0.9999999996112204,False
2,4,6.170941874147501,0.05953068831899116,6.11141118582851,0.34505271573772944,13.586695658231022,4.25275400665133e-09,0.09869604401089357,0.999999956910593,False
3,0,22.950509726273836,1.0785782856531978,21.87193144062064,1.4687261730174195,19.487478372723622,-3.475171504918506e-16,0.2220660990245106,1.0000000000000016,False
3,1,15.393299523172093,0.4852124921766551,14.908087030995437,0.9851015096695923,10.29607881715655,3.8325827691152283,0.2220660990245106,16.25874766995482,False
3,2,22.95050972658506,1.0785683495709992,21.87194137701406,1.4687194078999561,19.487485138041574,-8.15498973343094e-17,0.2220660990245106,1.0000000000000004,False
3,3,22.95050972627388,1.0785783209490385,21.87193140532484,1.46872619704902,19.487478348692044,-2.32784953447269e-16,0.2220660990245106,1.000000000000001,False
3,4,22.950509726753197,1.0785403715583046,21.871969355194892,1.4687003585199427,19.48750418731192,1.1677673051375241e-16,0.2220660990245106,0.9999999999999994,False
4,0,46.700695158594485,6.297085999871455,40.40360915872303,3.5488268483743903,19.11412627517133,-6.669534826680986e-11,0.3947841760435743,1.0000000001689413,False
4,1,46.700694955446956,6.297086079088386,40.40360887635857,3.548826870696399,19.114126210048944,-1.697976177682484e-12,0.3947841760435743,1.000000000004301,False
4,2,46.70069495452626,6.297086100715634,40.40360885381063,3.548826876790592,19.11412620376243,-2.6557697166534613e-16,0.3947841760435743,1.0000000000000007,False
4,3,2.099754783623861e-06,1.6368667726089165e-10,2.0995910969466e-06,1.8093461651154077e-05,0.0006448015140007333,0.39480163491591486,0.3947841760435743,4.422384026514743e-05,True
4,4,4.467526917317072e-06,1.3130022863940082e-11,4.467513787294208e-06,5.124455652392321e-06,0.0006650303715528604,0.39484353785222703,0.3947841760435743,0.00015036521789612921,True
5,0,64.2376196757458,17.705622857901478,46.53199681784433,5.950734888717776,14.651033469773143,-1.7340471272522522e-16,0.6168502750680849,1.0000000000000004,False
5,1,64.23761973472553,17.705603421447986,46.53201631327754,5.950731622489454,14.651036746217498,-6.27315645618684e-11,0.6168502750680849,1.0000000001016967,False
5,2,64.23761962158208,17.705649472863158,46.531970148718926,5.95073936126649,14.651028987071744,2.2251321585165975e-10,0.6168502750680849,0.9999999996392751,False
5,3,7.275017376712438e-06,6.70702719011171e-11,7.2749503064405365e-06,1.158190587952752e-05,0.0034936885424859472,0.6167595605556634,0.6168502750680849,0.00014706082835332,True
5,4,64.23761967589847,17.7056208036102,46.53199887228827,5.950734543501364,14.651033815015664,-5.990391185935434e-17,0.6168502750680849,1.0000000000000002,False
6,0,66.75470174034805,29.44111278096182,37.31358895938624,7.673475455223898,9.520408117720361,-1.5090285980219885e-16,0.8882643960980424,1.0000000000000002,False
6,1,66.75470173999844,29.44101572081137,37.313686019187074,7.673462806427275,9.520420766491684,-3.676950711505293e-17,0.8882643960980424,1.0,False
6,2,1.886902689336009e-05,5.274094639367539e-10,1.886849948389615e-05,3.2477976032728287e-05,0.0020050620749835647,0.8884275516821366,0.8882643960980424,0.00018367907664755653,True
6,3,55.55797044053976,20.393039666782286,35.164930773757476,6.386397993670968,10.807485579247947,-2.1905885782961563,0.8882643960980424,3.466144751403916,False
6,4,66.75470174011414,29.44100604313129,37.31369569698286,7.673461545239056,9.52042202769512,2.7524679568757405e-16,0.8882643960980424,0.9999999999999998,False
7,0,2.3549640756645187e-06,1.4183179467969018e-10,2.354822243869839e-06,1.6842315439374137e-05,0.0011715059027437972,1.2097950564700168,1.2090265391334463,0.0006356496831917337,True
7,1,57.03469689477508,33.8663008062501,23.16839608852498,8.22998187194238,5.597403166289979,-4.9274154514891984e-17,1.2090265391334463,1.0,False
7,2,57.034696894774974,33.86630349807315,23.168393396701823,8.229982199017584,5.597402839214699,-1.1608478507840935e-16,1.2090265391334463,1.0000000000000002,False
7,3,7.300868898499888e-07,5.471048753181192e-12,7.300814188012356e-07,3.307884143431022e-06,0.0005637813847161361,1.2094673157996811,1.2090265391334463,0.0003645715391415622,True
7,4,5.772971434521628e-06,2.3734452259421686e-11,5.772947700069369e-06,6.889768103415628e-06,0.00016270254340538983,1.2081319180814476,1.2090265391334463,0.0007399515420396605,True
